Name,Short_name,Medium_name
"Micronesia, Federated States of","Micronesia, F S","Micronesia, Fed States of"
Middle East,Middle East,Middle East
Moldova,Moldova,Moldova
Monaco,Monaco,Monaco
Mongolia,Mongolia,Mongolia
Montenegro,Montenegro,Montenegro
Montserrat,Montserrat,Montserrat
Morocco,Morocco,Morocco
Mozambique,Mozambique,Mozambique
Myanmar,Myanmar,Myanmar
Namibia,Namibia,Namibia
Nauru,Nauru,Nauru
Nepal,Nepal,Nepal
Netherlands,Netherlands,Netherlands
New Caledonia,New Caledonia,New Caledonia
New Zealand,New Zealand,New Zealand
Nicaragua,Nicaragua,Nicaragua
Niger,Niger,Niger
Nigeria,Nigeria,Nigeria
Niue,Niue,Niue
Norfolk Island,Norfolk Island,Norfolk Island
North Africa,North Africa,North Africa
North Africa and the Middle East,N Afr & Middl E,North Africa and Middle East
North Macedonia,North Macedonia,Republic of North Macedonia
North-East Asia,North-East Asia,North-East Asia
North-West Europe,NW Europe,North-West Europe
Northern America,N'thern America,Northern America
Northern Europe,Northern Europe,Northern Europe
Northern Ireland,N'thern Ireland,Northern Ireland
Northern Mariana Islands,N Mariana Is,Northern Mariana Islands
Norway,Norway,Norway
Occupied Palestinian Territories,Occ Palestinian T,Occupied Palestinian Territories
Oceania and Antarctica,Oceania,Oceania and Antarctica
Oman,Oman,Oman
Pakistan,Pakistan,Pakistan
Palau,Palau,Palau
Panama,Panama,Panama
Papua New Guinea,PNG,Papua New Guinea
Paraguay,Paraguay,Paraguay
Peru,Peru,Peru
Philippines,Philippines,Philippines
Pitcairn Islands,Pitcairn Is,Pitcairn Islands
Poland,Poland,Poland
Polynesia (excludes Hawaii),Polynesia,Polynesia (excludes Hawaii)
"Polynesia (excludes Hawaii), nec","Polynesia, nec","Polynesia (excl Hawaii), nec"
Portugal,Portugal,Portugal
Puerto Rico,Puerto Rico,Puerto Rico
Qatar,Qatar,Qatar
Queen Maud Land (Norway),Queen Maud Land,Queen Maud Land (Norway)
Reunion,Reunion,Reunion
Romania,Romania,Romania
Ross Dependency (New Zealand),Ross Dependency,Ross Dependency (New Zealand)
Russia,Russia,Russian Federation
Rwanda,Rwanda,Rwanda
Sint Maarten (Dutch part),Sint Maarten Dp,Sint Maarten (Dutch part)
St Barthelemy,St Barthelemy,St Barthelemy
St Helena,St Helena,St Helena
St Kitts and Nevis,St Kitts/Nevis,St Kitts and Nevis
St Lucia,St Lucia,St Lucia
St Martin (French part),St Martin (Fr),St Martin (French part)
St Pierre and Miquelon,St Pierre/Mique,St Pierre and Miquelon
St Vincent and the Grenadines,St Vinc/Grenad,St Vincent and the Grenadines
Samoa,Samoa,Samoa
Samoa American,Samoa American,Samoa American
San Marino,San Marino,San Marino
Sao Tome and Principe,Sao Tome/Princ,Sao Tome and Principe
Saudi Arabia,Saudi Arabia,Saudi Arabia
Scotland,Scotland,Scotland
Senegal,Senegal,Senegal
Serbia,Serbia,Serbia
Seychelles,Seychelles,Seychelles
Sierra Leone,Sierra Leone,Sierra Leone
Singapore,Singapore,Singapore
Slovakia,Slovakia,Slovakia
Slovenia,Slovenia,Slovenia
Solomon Islands,Solomon Islands,Solomon Islands
Somalia,Somalia,Somalia
South Africa,South Africa,South Africa
South America,South America,South America
"South America, nec","S America, nec","South America, nec"
South-East Asia,South-East Asia,South-East Asia
South Eastern Europe,SE Europe,South Eastern Europe
South Sudan,South Sudan,South Sudan
Southern and Central Asia,S & C Asia,Southern and Central Asia
Southern and East Africa,S & E Africa,Southern and East Africa
"Southern and East Africa, nec","S & E Afr, nec","Southern and East Africa, nec"
Southern and Eastern Europe,S & E Europe,Southern and Eastern Europe
Southern Asia,Southern Asia,Southern Asia
Southern Europe,Southern Europe,Southern Europe
Spain,Spain,Spain
Spanish North Africa,Sp North Africa,Spanish North Africa
Sri Lanka,Sri Lanka,Sri Lanka
Sub-Saharan Africa,Sub-Saha Africa,Sub-Saharan Africa
Sudan,Sudan,Sudan
Suriname,Suriname,Suriname
Sweden,Sweden,Sweden
Switzerland,Switzerland,Switzerland
Syria,Syria,Syria
Taiwan,Taiwan,Taiwan
Tajikistan,Tajikistan,Tajikistan
Tanzania,Tanzania,Tanzania
Thailand,Thailand,Thailand
Timor-Leste,Timor-Leste,Timor-Leste
Togo,Togo,Togo
Tokelau,Tokelau,Tokelau
Tonga,Tonga,Tonga
Trinidad and Tobago,Trinidad/Tobago,Trinidad and Tobago
Tunisia,Tunisia,Tunisia
Türkiye,Türkiye,Türkiye
Turkey,Turkey,Turkey
Turkmenistan,Turkmenistan,Turkmenistan
Turks and Caicos Islands,Turks/Caicos Is,Turks and Caicos Islands
Tuvalu,Tuvalu,Tuvalu
Uganda,Uganda,Uganda
Ukraine,Ukraine,Ukraine
United Arab Emirates,Unit Arab Emir,United Arab Emirates
"United Kingdom","United Kingdom","United Kingdom"
United States,USA,United States of America
Uruguay,Uruguay,Uruguay
Uzbekistan,Uzbekistan,Uzbekistan
Vanuatu,Vanuatu,Vanuatu
Venezuela,Venezuela,Venezuela
Vietnam,Vietnam,Vietnam
"Virgin Islands, British","Virgin Is, Brit","Virgin Islands, British"
"Virgin Islands, United States","Virgin Is, US","Virgin Islands, United States"
Wales,Wales,Wales
Wallis and Futuna,Wallis/Futuna,Wallis and Futuna
Western Europe,Western Europe,Western Europe
Western Sahara,Western Sahara,Western Sahara
Yemen,Yemen,Yemen
Zambia,Zambia,Zambia
Zimbabwe,Zimbabwe,Zimbabwe
